policy_id,holder_name,policy_type,premium,start_date
1,Taylor Davis,Universal Life,561.06,2022-05-13
2,Casey Miller,Term Life,510.75,2015-12-22
3,Riley Jones,Whole Life,615.19,2017-11-15
4,Jordan Rodriguez,Universal Life,591.94,2024-09-19
5,Alex Garcia,Universal Life,366.79,2018-10-31
6,Morgan Brown,Term Life,916.66,2021-04-12
7,Casey Williams,Universal Life,600.1,2025-02-13
8,Alex Brown,Universal Life,422.43,2018-06-16
9,Riley Smith,Universal Life,172.18,2021-11-06
10,Riley Smith,Term Life,527.4,2016-01-26
11,Peyton Brown,Whole Life,353.55,2021-02-28
12,Riley Martinez,Whole Life,183.98,2020-06-16
13,Jamie Garcia,Term Life,250.27,2024-08-17
14,Casey Smith,Universal Life,526.15,2016-07-22
15,Jordan Garcia,Term Life,734.92,2018-03-04
16,Jamie Davis,Universal Life,852.34,2017-11-30
17,Riley Johnson,Universal Life,803.63,2018-03-02
18,Peyton Martinez,Universal Life,370.76,2018-08-25
19,Casey Rodriguez,Universal Life,134.98,2023-12-14
20,Peyton Rodriguez,Term Life,708.3,2016-07-01
21,Avery Jones,Universal Life,591.52,2025-01-07
22,Taylor Miller,Universal Life,251.96,2024-09-18
23,Jordan Williams,Universal Life,630.81,2017-07-08
24,Avery Johnson,Universal Life,775.58,2023-04-06
25,Morgan Williams,Whole Life,428.22,2024-10-09
26,Riley Brown,Term Life,750.91,2020-11-30
27,Drew Rodriguez,Whole Life,548.64,2018-05-30
28,Peyton Smith,Universal Life,206.68,2020-01-07
29,Drew Miller,Whole Life,664.1,2016-03-23
30,Avery Williams,Universal Life,956.94,2019-02-07
31,Peyton Miller,Universal Life,256.38,2019-12-06
32,Riley Jones,Whole Life,300.79,2021-06-03
33,Riley Brown,Whole Life,386.07,2017-12-16
34,Peyton Miller,Universal Life,766.65,2022-11-19
35,Drew Johnson,Universal Life,891.93,2019-02-13
36,Jordan Miller,Universal Life,521.38,2015-08-16
37,Avery Smith,Universal Life,469.12,2021-06-12
38,Casey Brown,Term Life,280.43,2019-02-01
39,Casey Miller,Term Life,429.79,2019-11-12
40,Morgan Martinez,Universal Life,728.08,2022-12-11
41,Peyton Williams,Term Life,801.46,2018-11-21
42,Alex Miller,Whole Life,851.45,2021-04-21
43,Drew Johnson,Term Life,957.48,2017-06-14
44,Morgan Williams,Term Life,982.91,2022-02-14
45,Jamie Brown,Term Life,349.58,2022-06-15
46,Morgan Williams,Whole Life,589.68,2019-07-23
47,Peyton Rodriguez,Term Life,558.56,2024-08-01
48,Peyton Davis,Term Life,952.2,2017-05-15
49,Morgan Martinez,Term Life,589.1,2021-01-03
50,Taylor Johnson,Term Life,469.53,2022-08-22
51,Alex Garcia,Whole Life,823.75,2024-07-03
52,Peyton Brown,Term Life,231.54,2023-07-03
53,Casey Garcia,Term Life,533.67,2024-03-31
54,Avery Davis,Whole Life,445.28,2022-11-12
55,Avery Rodriguez,Universal Life,984.88,2022-10-02
56,Jamie Brown,Term Life,386.67,2023-04-25
57,Drew Garcia,Universal Life,914.68,2019-02-02
58,Alex Garcia,Whole Life,715.94,2016-10-09
59,Taylor Rodriguez,Universal Life,545.69,2018-01-02
60,Alex Brown,Universal Life,239.75,2023-12-04
61,Jordan Johnson,Term Life,856.28,2024-09-28
62,Casey Rodriguez,Whole Life,166.44,2020-04-28
63,Taylor Davis,Term Life,146.38,2021-06-18
64,Avery Smith,Universal Life,638.03,2024-05-13
65,Casey Rodriguez,Universal Life,270.51,2024-06-18
66,Riley Smith,Term Life,211.08,2022-09-05
67,Avery Garcia,Term Life,816.64,2019-11-04
68,Jamie Martinez,Whole Life,600.06,2018-05-23
69,Peyton Davis,Whole Life,456.95,2021-09-05
70,Riley Brown,Universal Life,591.46,2023-12-13
71,Riley Johnson,Whole Life,939.85,2017-06-09
72,Drew Rodriguez,Universal Life,140.05,2017-11-25
73,Peyton Rodriguez,Universal Life,475.59,2018-05-19
74,Taylor Johnson,Term Life,932.05,2019-04-20
75,Morgan Brown,Whole Life,825.0,2017-11-04
76,Jamie Davis,Whole Life,969.91,2015-11-29
77,Casey Miller,Whole Life,599.94,2019-11-23
78,Alex Garcia,Term Life,629.44,2016-03-23
79,Morgan Williams,Term Life,401.3,2016-05-20
80,Riley Miller,Term Life,752.41,2018-06-14
81,Jordan Jones,Universal Life,757.36,2021-02-22
82,Avery Garcia,Term Life,301.26,2021-12-10
83,Jordan Miller,Term Life,187.53,2017-11-02
84,Casey Jones,Term Life,279.52,2021-11-06
85,Peyton Martinez,Term Life,811.32,2021-01-08
86,Casey Martinez,Universal Life,476.4,2016-05-16
87,Casey Jones,Whole Life,645.14,2023-07-28
88,Casey Williams,Universal Life,900.36,2017-01-10
89,Riley Jones,Whole Life,636.81,2022-04-12
90,Taylor Williams,Whole Life,173.27,2016-05-16
91,Alex Brown,Whole Life,769.32,2017-03-08
92,Morgan Johnson,Term Life,606.74,2019-08-15
93,Avery Martinez,Universal Life,686.01,2015-04-28
94,Peyton Rodriguez,Term Life,457.98,2024-10-26
95,Avery Johnson,Universal Life,405.78,2017-12-27
96,Peyton Smith,Whole Life,749.05,2016-09-02
97,Taylor Jones,Term Life,181.81,2022-07-24
98,Avery Jones,Term Life,479.02,2024-08-15
99,Avery Brown,Term Life,716.1,2017-06-30
100,Drew Martinez,Universal Life,953.68,2015-04-05
